FECHA,CELDA_DE_ASENTAMIENTO,PROGRESIVA,PUNTO_FIJO_CASETA,COTA_RIO_(M.S.N.M),LECTURA_REGLETA_(M),COTA_0_REGLETA_(M),COTA_CELDA_(M.S.N.M),ASENTAMIENTO_(CM),COTA_RELLENO,MODULO_DEFORMACION_(Ε)
24/09/2019,AS-3,0+950,139.171,,0.572,140.065,140.637,-4.399999999998272,141.8,
27/09/2019,AS-3,0+950,139.171,,0.613,140.065,140.678,-0.2999999999985903,141.8,
30/09/2019,AS-3,0+950,139.171,,0.612,140.065,140.677,-0.39999999999906777,141.8,
01/10/2019,AS-3,0+950,139.171,114.958,0.611,140.065,140.676,-0.49999999999954525,142.4,
02/10/2019,AS-3,0+950,139.171,,0.612,140.065,140.677,-0.39999999999906777,142.4,
03/10/2019,AS-3,0+950,139.171,,0.612,140.065,140.677,-0.39999999999906777,142.4,
04/10/2019,AS-3,0+950,139.171,,0.611,140.065,140.676,-0.49999999999954525,142.4,
08/10/2019,AS-3,0+950,139.171,,0.602,140.065,140.667,-1.3999999999981583,142.4,
12/10/2019,AS-3,0+950,139.171,,0.604,140.065,140.669,-1.1999999999972033,142.4,
17/10/2019,AS-3,0+950,139.171,,0.616,140.065,140.681,2.8421709430404007e-12,142.4,
19/10/2019,AS-3,0+950,139.171,,0.642,140.065,140.707,2.600000000001046,142.4,
24/10/2019,AS-3,0+950,139.171,,0.642,140.065,140.707,2.600000000001046,142.4,
26/10/2019,AS-3,0+950,139.171,,0.636,140.065,140.701,2.000000000001023,142.4,
28/10/2019,AS-3,0+950,139.171,,0.635,140.065,140.7,1.9000000000005457,142.4,
29/10/2019,AS-3,0+950,139.003,,0.651,140.075,140.726,4.500000000001592,142.4,
31/10/2019,AS-3,0+950,139.003,,0.645,140.075,140.72,3.900000000001569,142.4,
01/11/2019,AS-3,0+950,139.003,,0.643,140.075,140.718,3.700000000000614,142.4,
04/11/2019,AS-3,0+950,139.003,,0.638,140.075,140.713,3.2000000000010687,142.4,
09/11/2019,AS-3,0+950,139.003,115.173,0.633,140.075,140.708,2.7000000000015234,142.4,
13/11/2019,AS-3,0+950,138.996,115.173,0.624,140.059,140.683,0.20000000000095497,142.4,
17/11/2019,AS-3,0+950,138.996,,0.623,140.059,140.682,0.10000000000047748,142.4,
20/11/2019,AS-3,0+950,138.996,,0.62,140.059,140.679,-0.1999999999981128,142.4,
25/11/2019,AS-3,0+950,138.996,,0.638,140.059,140.697,1.6000000000019554,142.4,
29/11/2019,AS-3,0+950,138.996,,0.638,140.059,140.697,1.6000000000019554,142.4,
03/12/2019,AS-3,0+950,138.996,115.803,0.63,140.059,140.689,0.8000000000009777,142.4,
07/12/2019,AS-3,0+950,138.996,,0.624,140.059,140.683,0.20000000000095497,142.4,
11/12/2019,AS-3,0+950,138.996,116.171,0.624,140.059,140.683,0.20000000000095497,142.4,
14/12/2019,AS-3,0+950,138.996,116.31,0.62,140.059,140.679,-0.1999999999981128,142.4,
18/12/2019,AS-3,0+950,139.028,,0.615,140.059,140.674,-0.699999999997658,142.4,
04/01/2020,AS-3,0+950,139.028,,0.599,140.059,140.658,-2.2999999999996135,142.4,
09/01/2020,AS-3,0+950,139.028,,0.647,140.059,140.706,2.5000000000005684,142.4,
13/01/2020,AS-3,0+950,139.028,117.135,0.644,140.059,140.703,2.200000000001978,142.4,
17/01/2020,AS-3,0+950,139.028,,0.64,140.059,140.69899999999998,1.8000000000000682,142.4,
21/01/2020,AS-3,0+950,139.028,117.311,0.641,140.059,140.7,1.9000000000005457,142.4,
25/01/2020,AS-3,0+950,139.028,,0.641,140.059,140.7,1.9000000000005457,142.4,
29/01/2020,AS-3,0+950,139.028,117.528,0.624,140.059,140.683,0.20000000000095497,142.4,
10/02/2020,AS-3,0+950,138.994,,0.573,140.2,140.773,9.200000000001296,142.4,
14/02/2020,AS-3,0+950,138.994,,0.652,140.054,140.706,2.5000000000005684,142.4,
18/02/2020,AS-3,0+950,138.994,,0.616,140.054,140.67000000000002,-1.0999999999967258,142.4,
22/02/2020,AS-3,0+950,138.994,,0.614,140.054,140.668,-1.2999999999976808,142.4,
26/02/2020,AS-3,0+950,138.994,117.808,0.617,140.054,140.671,-0.9999999999990905,142.4,
01/03/2020,AS-3,0+950,138.994,,0.604,140.054,140.65800000000002,-2.2999999999967713,143.0,
06/03/2020,AS-3,0+950,138.994,,0.619,140.054,140.673,-0.7999999999981355,143.0,
13/03/2020,AS-3,0+950,138.994,118.05,0.595,140.054,140.649,-3.1999999999982265,143.0,
22/03/2020,AS-3,0+950,138.994,,0.591,140.054,140.645,-3.5999999999972943,143.0,
26/03/2020,AS-3,0+950,138.994,,0.631,140.054,140.685,0.40000000000190994,143.0,
01/04/2020,AS-3,0+950,138.994,,0.554,140.054,140.608,-7.299999999997908,146.6,
11/04/2020,AS-3,0+950,138.994,,0.61,140.054,140.66400000000002,-1.6999999999967486,146.6,
20/04/2020,AS-3,0+950,138.981,117.807,0.574,140.047,140.621,-5.999999999997385,146.6,
07/05/2020,AS-3,0+950,138.981,117.621,0.644,140.047,140.691,1.0000000000019327,146.6,
14/05/2020,AS-3,0+950,138.981,117.437,0.602,140.047,140.649,-3.1999999999982265,146.6,
22/05/2020,AS-3,0+950,138.981,117.286,0.605,140.047,140.652,-2.899999999999636,146.6,
28/05/2020,AS-3,0+950,138.98,117.286,0.547,140.049,140.596,-8.499999999997954,146.6,
30/05/2020,AS-3,0+950,138.98,117.213,0.573,140.049,140.622,-5.899999999996908,146.6,
01/06/2020,AS-3,0+950,138.98,117.213,0.559,140.049,140.608,-7.299999999997908,147.8,
02/06/2020,AS-3,0+950,138.98,117.213,0.585,140.049,140.63400000000001,-4.699999999996862,147.8,
05/06/2020,AS-3,0+950,138.98,117.213,0.613,140.049,140.662,-1.8999999999977035,147.8,
06/06/2020,AS-3,0+950,138.98,117.213,0.605,140.049,140.654,-2.6999999999986812,147.8,
09/06/2020,AS-3,0+950,138.98,117.205,0.605,140.049,140.654,-2.6999999999986812,147.8,
12/06/2020,AS-3,0+950,138.98,117.205,0.606,140.052,140.658,-2.2999999999996135,147.8,
15/06/2020,AS-3,0+950,138.98,117.045,0.604,140.049,140.65300000000002,-2.7999999999963165,148.85,
16/10/2020,AS-3,0+950,138.73,114.915,0.458,140.185,140.643,-3.7999999999982492,149.0,
18/10/2020,AS-3,0+950,138.73,114.915,0.455,140.185,140.64000000000001,-4.0999999999968395,149.0,
19/10/2020,AS-3,0+950,138.73,,0.451,140.185,140.636,-4.4999999999987494,149.0,
20/10/2020,AS-3,0+950,138.73,114.423,0.456,140.185,140.641,-3.999999999999204,149.0,
15/05/2021,AS-3,0+950,138.748,117.505,0.441,140.16,140.601,-7.999999999998408,149.0,
26/05/2021,AS-3,0+950,138.748,117.394,0.439,140.159,140.59799999999998,-8.29999999999984,149.0,
03/06/2021,AS-3,0+950,138.748,117.394,0.44,140.16,140.6,-8.099999999998886,149.0,
07/06/2021,AS-3,0+950,138.748,116.853,0.441,140.16,140.601,-7.999999999998408,149.0,
21/06/2021,AS-3,0+950,138.748,116.689,0.436,140.16,140.596,-8.499999999997954,149.0,
29/06/2021,AS-3,0+950,138.748,116.552,0.438,140.155,140.593,-8.799999999999386,149.0,
15/07/2021,AS-3,0+950,138.748,116.077,0.472,140.155,140.627,-5.3999999999973625,149.0,
07/08/2021,AS-3,0+950,138.748,116.018,0.466,140.159,140.625,-5.599999999998317,149.0,
15/08/2021,AS-3,0+950,138.748,115.936,0.467,140.159,140.626,-5.49999999999784,149.0,
21/08/2021,AS-3,0+950,138.748,,0.47,140.159,140.629,-5.19999999999925,149.0,
28/08/2021,AS-3,0+950,138.748,,0.463,140.159,140.62199999999999,-5.89999999999975,149.0,
01/09/2021,AS-3,0+950,138.748,115.14,0.455,140.159,140.614,-6.699999999997885,149.0,
16/09/2021,AS-3,0+950,138.748,115.019,0.47,140.159,140.629,-5.19999999999925,149.0,
27/09/2021,AS-3,0+950,138.748,114.781,0.473,140.159,140.632,-4.899999999997817,149.0,
09/10/2021,AS-3,0+950,138.748,114.888,0.47,140.158,140.628,-5.299999999999727,149.0,
14/10/2021,AS-3,0+950,138.748,114.621,0.471,140.159,140.63,-5.099999999998772,149.0,
18/10/2021,AS-3,0+950,138.748,114.651,0.47,140.159,140.629,-5.19999999999925,149.0,
31/10/2021,AS-3,0+950,138.748,115.046,0.477,140.159,140.636,-4.4999999999987494,149.0,
02/11/2021,AS-3,0+950,138.748,115.046,0.474,140.159,140.63299999999998,-4.800000000000182,149.0,
09/11/2021,AS-3,0+950,138.748,115.629,0.474,140.159,140.63299999999998,-4.800000000000182,149.0,
17/11/2021,AS-3,0+950,138.748,115.744,0.468,140.158,140.62599999999998,-5.500000000000682,149.0,
24/11/2021,AS-3,0+950,138.748,115.871,0.47,140.158,140.628,-5.299999999999727,149.0,
30/11/2021,AS-3,0+950,138.748,115.981,0.474,140.158,140.63199999999998,-4.900000000000659,149.0,
03/12/2021,AS-3,0+950,138.748,116.068,0.474,140.157,140.631,-4.999999999998295,149.0,
11/12/2021,AS-3,0+950,138.748,,0.476,140.157,140.633,-4.79999999999734,149.0,
18/01/2022,AS-3,0+950,138.748,,0.468,140.157,140.625,-5.599999999998317,149.0,
27/01/2022,AS-3,0+950,138.748,,0.475,140.157,140.632,-4.899999999997817,149.0,
04/02/2022,AS-3,0+950,138.748,,0.463,140.157,140.62,-6.099999999997863,149.0,
11/02/2022,AS-3,0+950,138.748,,0.468,140.157,140.625,-5.599999999998317,149.0,
19/02/2022,AS-3,0+950,138.748,117.602,0.465,140.157,140.622,-5.899999999996908,149.0,
25/02/2022,AS-3,0+950,138.748,117.602,0.465,140.157,140.622,-5.899999999996908,149.0,
05/03/2022,AS-3,0+950,138.748,117.164,0.466,140.159,140.625,-5.599999999998317,149.0,
11/03/2022,AS-3,0+950,138.748,117.109,0.463,140.159,140.62199999999999,-5.89999999999975,149.0,
