FECHA,FREATIMETRO,COTA_RÌO_(M.S.N.M),PROF_NIVEL_FREATICO_(M),COTA_NIVEL_FREATICO_(M.S.N.M.),CARGA_(M.C.A),PRECIPITACIONES
09/11/2020,FR-0+775,,5.273,114.158,10.406999999999996,1.8
12/11/2020,FR-0+775,,5.181,114.25,10.498999999999995,0.0
04/12/2020,FR-0+775,115.868,4.658,114.773,11.021999999999991,0.0
23/01/2021,FR-0+775,116.54,3.68,115.75099999999999,11.999999999999986,0.0
31/01/2021,FR-0+775,116.54,3.56,115.871,12.11999999999999,0.0
02/02/2021,FR-0+775,116.546,3.5,115.931,12.179999999999993,0.0
12/02/2021,FR-0+775,116.546,3.37,116.06099999999999,12.309999999999988,14.8
18/02/2021,FR-0+775,116.546,3.255,116.176,12.424999999999997,1.8
27/02/2021,FR-0+775,116.87,3.12,116.31099999999999,12.559999999999988,0.0
03/03/2021,FR-0+775,117.084,3.057,116.374,12.62299999999999,0.0
20/03/2021,FR-0+775,117.657,2.813,116.618,12.86699999999999,0.0
29/03/2021,FR-0+775,117.843,2.74,116.691,12.939999999999998,0.0
01/04/2021,FR-0+775,117.972,2.73,116.701,12.949999999999989,0.0
05/04/2021,FR-0+775,117.866,2.73,116.701,12.949999999999989,0.0
13/04/2021,FR-0+775,117.793,2.73,116.701,12.949999999999989,0.0
19/04/2021,FR-0+775,117.824,2.73,116.701,12.949999999999989,0.0
27/04/2021,FR-0+775,117.721,2.76,116.67099999999999,12.919999999999987,0.0
15/05/2021,FR-0+775,117.505,2.825,116.606,12.85499999999999,0.0
26/05/2021,FR-0+775,117.394,2.95,116.481,12.72999999999999,0.0
07/06/2021,FR-0+775,116.853,3.171,116.25999999999999,12.508999999999986,3.6
21/06/2021,FR-0+775,116.689,3.422,116.009,12.257999999999996,0.3
29/06/2021,FR-0+775,116.552,3.62,115.81099999999999,12.059999999999988,0.0
16/07/2021,FR-0+775,116.446,3.89,115.541,11.789999999999992,2.1
13/08/2021,FR-0+775,115.936,4.325,115.106,11.35499999999999,0.5
21/08/2021,FR-0+775,115.936,4.43,115.001,11.25,17.5
28/08/2021,FR-0+775,115.936,4.52,114.911,11.159999999999997,1.3
01/09/2021,FR-0+775,115.14,4.6,114.831,11.079999999999998,2.1
16/09/2021,FR-0+775,115.019,4.83,114.601,10.849999999999994,0.8
27/09/2021,FR-0+775,114.781,4.98,114.451,10.699999999999989,17.6
09/10/2021,FR-0+775,114.888,5.065,114.366,10.614999999999995,0.0
18/10/2021,FR-0+775,114.651,5.13,114.301,10.549999999999997,0.0
31/10/2021,FR-0+775,114.736,5.13,114.301,10.549999999999997,0.3
02/11/2021,FR-0+775,115.046,5.13,114.301,10.549999999999997,0.0
09/11/2021,FR-0+775,115.629,5.15,114.28099999999999,10.529999999999987,2.8
17/11/2021,FR-0+775,115.744,4.97,114.461,10.709999999999994,0.0
24/11/2021,FR-0+775,115.871,4.94,114.491,10.739999999999995,0.0
30/11/2021,FR-0+775,115.981,4.89,114.541,10.789999999999992,0.6
03/12/2021,FR-0+775,116.068,5.1,114.331,10.579999999999998,
09/12/2021,FR-0+775,116.068,4.27,115.161,11.409999999999997,
12/12/2021,FR-0+775,116.068,4.77,114.661,10.909999999999997,
18/01/2022,FR-0+775,117.333,4.0,115.431,11.679999999999993,9.9
25/01/2022,FR-0+775,117.333,3.87,115.56099999999999,11.809999999999988,
27/01/2022,FR-0+775,117.333,3.82,115.611,11.86,16.8
11/02/2022,FR-0+775,117.333,3.59,115.841,12.08999999999999,
19/02/2022,FR-0+775,117.602,3.45,115.981,12.22999999999999,1.8
05/03/2022,FR-0+775,117.164,3.265,116.166,12.414999999999992,21.1
11/03/2022,FR-0+775,117.109,3.235,116.196,12.444999999999993,
22/03/2022,FR-0+775,117.055,3.16,116.271,12.519999999999996,
25/03/2022,FR-0+775,117.055,3.16,116.271,12.519999999999996,
02/04/2022,FR-0+775,117.031,3.18,116.25099999999999,12.499999999999986,22.4
11/04/2022,FR-0+775,116.875,3.38,116.051,12.299999999999997,
20/04/2022,FR-0+775,116.679,3.603,115.828,12.076999999999998,0.0
25/04/2022,FR-0+775,116.404,3.64,115.791,12.039999999999992,
05/05/2022,FR-0+775,116.404,3.74,115.691,11.939999999999998,12.3
09/05/2022,FR-0+775,116.254,3.81,115.621,11.86999999999999,9.8
17/05/2022,FR-0+775,116.171,3.88,115.551,11.799999999999997,
23/05/2022,FR-0+775,116.171,3.987,115.444,11.692999999999998,
30/05/2022,FR-0+775,115.942,4.14,115.291,11.539999999999992,0.0
07/06/2022,FR-0+775,115.747,4.33,115.101,11.349999999999994,
16/06/2022,FR-0+775,115.555,4.45,114.981,11.22999999999999,2.5
24/06/2022,FR-0+775,115.387,4.58,114.851,11.099999999999994,
01/07/2022,FR-0+775,115.304,4.7,114.731,10.97999999999999,4.2
09/07/2022,FR-0+775,115.108,4.88,114.551,10.799999999999997,
17/07/2022,FR-0+775,115.108,5.16,114.271,10.519999999999996,1.0
28/07/2022,FR-0+775,114.667,5.26,114.17099999999999,10.419999999999987,0.3
05/08/2022,FR-0+775,114.191,5.32,114.11099999999999,10.359999999999985,
13/08/2022,FR-0+775,114.139,5.37,114.06099999999999,10.309999999999988,3.1
19/08/2022,FR-0+775,114.136,5.48,113.951,10.199999999999989,8.6
29/08/2022,FR-0+775,114.136,5.555,113.876,10.125,
23/02/2023,FR-0+775,116.755,3.08,116.351,12.599999999999994,23.5
11/03/2023,FR-0+775,116.755,2.94,116.491,12.739999999999995,
18/03/2023,FR-0+775,116.743,2.855,116.576,12.824999999999989,
26/03/2023,FR-0+775,116.526,2.88,116.551,12.799999999999997,
31/03/2023,FR-0+775,116.536,2.95,116.481,12.72999999999999,1.6
09/04/2023,FR-0+775,116.374,3.08,116.351,12.599999999999994,
15/04/2023,FR-0+775,116.266,3.16,116.271,12.519999999999996,
23/04/2023,FR-0+775,116.266,3.285,116.146,12.394999999999996,6.5
09/05/2023,FR-0+775,116.266,3.19,116.241,12.489999999999995,
27/05/2023,FR-0+775,115.969,3.38,116.051,12.299999999999997,
02/06/2023,FR-0+775,115.73,3.42,116.011,12.259999999999991,13.8
09/06/2023,FR-0+775,115.647,3.46,115.971,12.219999999999999,
16/06/2023,FR-0+775,115.647,3.533,115.898,12.146999999999991,
23/06/2023,FR-0+775,115.565,3.655,115.776,12.024999999999991,
30/06/2023,FR-0+775,115.354,3.77,115.661,11.909999999999997,25.4
08/07/2023,FR-0+775,115.156,3.94,115.491,11.739999999999995,
14/07/2023,FR-0+775,115.008,4.08,115.351,11.599999999999994,
31/07/2023,FR-0+775,114.831,4.35,115.081,11.329999999999998,17.0
14/08/2023,FR-0+775,114.629,4.65,114.78099999999999,11.029999999999987,
23/08/2023,FR-0+775,114.391,4.76,114.67099999999999,10.919999999999987,3.8
04/09/2023,FR-0+775,114.309,5.01,114.42099999999999,10.669999999999987,
09/09/2023,FR-0+775,114.309,5.05,114.381,10.629999999999995,
15/09/2023,FR-0+775,114.309,5.143,114.288,10.536999999999992,
24/09/2023,FR-0+775,114.131,5.25,114.181,10.429999999999993,22.1
03/10/2023,FR-0+775,114.069,5.395,114.036,10.284999999999997,
09/10/2023,FR-0+775,114.1,5.425,114.006,10.254999999999995,
16/10/2023,FR-0+775,114.18,5.49,113.941,10.189999999999998,0.8
29/10/2023,FR-0+775,114.254,5.46,113.971,10.219999999999999,5.6
03/11/2023,FR-0+775,114.306,5.438,113.993,10.24199999999999,
10/11/2023,FR-0+775,114.306,5.411,114.02,10.268999999999991,
18/11/2023,FR-0+775,114.328,5.385,114.04599999999999,10.294999999999987,6.5
09/11/2020,FR-0+950,,6.695,114.088,9.099999999999994,1.8
12/11/2020,FR-0+950,,6.565,114.218,9.230000000000004,0.0
04/12/2020,FR-0+950,115.868,6.09,114.693,9.704999999999998,0.0
23/01/2021,FR-0+950,116.54,5.21,115.57300000000001,10.585000000000008,0.0
31/01/2021,FR-0+950,,5.07,115.713,10.724999999999994,0.0
02/02/2021,FR-0+950,116.546,5.0,115.783,10.795000000000002,0.0
12/02/2021,FR-0+950,,4.9,115.883,10.894999999999996,14.8
18/02/2021,FR-0+950,,4.75,116.033,11.045000000000002,1.8
27/02/2021,FR-0+950,116.87,4.63,116.153,11.165000000000006,0.0
03/03/2021,FR-0+950,117.084,4.56,116.223,11.235,0.0
20/03/2021,FR-0+950,117.657,4.3153,116.46770000000001,11.479700000000008,0.0
29/03/2021,FR-0+950,117.843,4.26,116.523,11.534999999999997,0.0
01/04/2021,FR-0+950,117.972,4.23,116.553,11.564999999999998,0.0
05/04/2021,FR-0+950,117.866,4.23,116.553,11.564999999999998,0.0
13/04/2021,FR-0+950,117.793,4.23,116.553,11.564999999999998,0.0
19/04/2021,FR-0+950,117.824,4.23,116.553,11.564999999999998,0.0
27/04/2021,FR-0+950,117.721,4.24,116.543,11.555000000000007,0.0
15/05/2021,FR-0+950,117.505,4.294,116.489,11.501000000000005,0.0
26/05/2021,FR-0+950,117.394,4.413,116.37,11.382000000000005,0.0
07/06/2021,FR-0+950,116.853,4.62,116.163,11.174999999999997,3.6
21/06/2021,FR-0+950,116.689,4.871,115.912,10.924000000000007,0.3
29/06/2021,FR-0+950,116.552,5.06,115.723,10.735,0.0
16/07/2021,FR-0+950,116.446,5.32,115.463,10.474999999999994,2.1
13/08/2021,FR-0+950,115.936,5.75,115.033,10.045000000000002,0.5
21/08/2021,FR-0+950,,5.845,114.938,9.950000000000003,17.5
28/08/2021,FR-0+950,,5.94,114.843,9.855000000000004,1.3
