FECHA,EXTENSOMETRO,COTA_EXCAV._(MSNM),PROFUNDIDAD,Z/COTA_RELEV.,DIFERENCIAS_(MM),ACUMULADO_(MM),COTA_FINAL_EXCAV._(MSNM)
03/04/2022,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
12/05/2022,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
30/05/2022,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
11/06/2022,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
04/07/2022,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
24/07/2022,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
08/08/2022,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
16/02/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
05/03/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
26/03/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
02/04/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
09/04/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
15/04/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
24/04/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
30/04/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
07/05/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
14/05/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
21/05/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
25/05/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
03/06/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
10/06/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
20/06/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
03/07/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
11/07/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
18/07/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
31/07/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
10/08/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
19/08/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
30/08/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
04/09/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
27/09/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
14/10/2023,EX-CH-1a,120.0,0.0,120.0,0.0,0.0,120.0
03/04/2022,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
12/05/2022,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
30/05/2022,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
11/06/2022,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
04/07/2022,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
24/07/2022,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
08/08/2022,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
16/02/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
05/03/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
26/03/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
02/04/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
09/04/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
15/04/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
24/04/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
30/04/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
07/05/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
14/05/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
14/05/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
21/05/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
25/05/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
03/06/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
10/06/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
20/06/2023,EX-CH-1b,119.78,0.0,120.0,0.0,0.0,
03/07/2023,EX-CH-1b,119.78,0.0,120.0,0.0,0.0,
11/07/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
18/07/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
31/07/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
10/08/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
19/08/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
30/08/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
04/09/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
27/09/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
14/10/2023,EX-CH-1b,120.0,0.0,120.0,0.0,0.0,
03/04/2022,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
12/05/2022,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
30/05/2022,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
11/06/2022,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
04/07/2022,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
24/07/2022,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
08/08/2022,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
16/02/2023,EX-CH-1c ,120.0,0.0,,,,
05/03/2023,EX-CH-1c ,120.0,0.0,,,,
26/03/2023,EX-CH-1c ,120.0,0.0,,,,
02/04/2023,EX-CH-1c ,120.0,0.0,,,,
09/04/2023,EX-CH-1c ,120.0,0.0,,,,
15/04/2023,EX-CH-1c ,120.0,0.0,,,,
07/05/2023,EX-CH-1c ,120.0,0.0,,,,
14/05/2023,EX-CH-1c ,120.0,0.0,,,,
14/05/2023,EX-CH-1c ,120.0,0.0,,,,
21/05/2023,EX-CH-1c ,120.0,0.0,,,,
25/05/2023,EX-CH-1c ,120.0,0.0,,,,
03/06/2023,EX-CH-1c ,120.0,0.0,,,,
20/06/2023,EX-CH-1c ,119.78,0.0,,,,
03/07/2023,EX-CH-1c ,119.78,0.0,,,,
11/07/2023,EX-CH-1c ,120.0,0.0,,,,
18/07/2023,EX-CH-1c ,120.0,0.0,,,,
31/07/2023,EX-CH-1c ,120.0,0.0,,,,
10/08/2023,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
19/08/2023,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
30/08/2023,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
04/09/2023,EX-CH-1c ,120.0,0.0,120.0,0.0,0.0,
