FECHA,MARGEN,PIEZOMETRO,LECTURA_CUERDA_VIBRANTE,TEMPERATURA_(°C),MCA_1_(FACTOR_G),MCA_2_(FACTOR_G_Y_K),COTA_NF,PRECIPITACIONES_(MM)
12/11/2020,MD,MD-PCG-PE1-B1,9040.22,10.9,-0.262285800000006,-0.10962980000000597,SIN NF,0.0
16/11/2020,MD,MD-PCG-PE1-B1,9037.01,10.9,-0.17375400000003008,-0.02109800000003007,SIN NF,0.0
19/11/2020,MD,MD-PCG-PE1-B1,9039.08,10.9,-0.23084460000002208,-0.07818860000002206,SIN NF,0.0
22/11/2020,MD,MD-PCG-PE1-B1,9043.59,10.9,-0.3552304000000281,-0.20257440000002805,SIN NF,0.0
05/12/2020,MD,MD-PCG-PE1-B1,9037.5,10.8,-0.1872682000000241,-0.03324920000002407,SIN NF,0.0
24/01/2021,MD,MD-PCG-PE1-B1,9045.44,10.9,-0.4062534000000381,-0.2535974000000381,SIN NF,0.0
03/02/2021,MD,MD-PCG-PE1-B1,9037.29,10.8,-0.18147640000004817,-0.02745740000004815,SIN NF,0.0
12/02/2021,MD,MD-PCG-PE1-B1,9041.09,10.9,-0.2862804000000281,-0.13362440000002804,SIN NF,0.0
22/02/2021,MD,MD-PCG-PE1-B1,9041.58,10.9,-0.29979460000002206,-0.14713860000002202,SIN NF,14.8
27/02/2021,MD,MD-PCG-PE1-B1,9041.36,10.9,-0.29372700000004015,-0.1410710000000401,SIN NF,1.8
03/03/2021,MD,MD-PCG-PE1-B1,9035.66,10.9,-0.13652100000002004,0.016134999999979964,SIN NF,0.0
12/03/2021,MD,MD-PCG-PE1-B1,9048.82,10.9,-0.499473800000016,-0.346817800000016,SIN NF,0.0
15/03/2021,MD,MD-PCG-PE1-B1,9040.87,10.9,-0.28021280000004617,-0.12755680000004613,SIN NF,0.0
21/03/2021,MD,MD-PCG-PE1-B1,9037.5,10.9,-0.1872682000000241,-0.03461220000002406,SIN NF,0.0
29/03/2021,MD,MD-PCG-PE1-B1,9040.87,10.9,-0.28021280000004617,-0.12755680000004613,SIN NF,0.0
05/04/2021,MD,MD-PCG-PE1-B1,9037.5,10.9,-0.1872682000000241,-0.03461220000002406,SIN NF,0.0
13/04/2021,MD,MD-PCG-PE1-B1,9044.08,10.9,-0.368744600000022,-0.21608860000002203,SIN NF,0.0
19/04/2021,MD,MD-PCG-PE1-B1,9043.81,10.9,-0.36129800000001,-0.20864200000001001,SIN NF,0.0
27/04/2021,MD,MD-PCG-PE1-B1,9048.16,10.9,-0.4812710000000201,-0.3286150000000201,SIN NF,0.0
05/05/2021,MD,MD-PCG-PE1-B1,9035.44,10.8,-0.13045340000003813,0.02356559999996189,SIN NF,0.0
17/05/2021,MD,MD-PCG-PE1-B1,9040.66,10.8,-0.27442100000002,-0.12040200000002002,SIN NF,0.0
23/05/2021,MD,MD-PCG-PE1-B1,9044.3,10.9,-0.374812200000004,-0.22215620000000397,SIN NF,0.0
02/06/2021,MD,MD-PCG-PE1-B1,9040.44,10.9,-0.2683534000000381,-0.1156974000000381,SIN NF,2.8
07/06/2021,MD,MD-PCG-PE1-B1,9044.08,10.9,-0.368744600000022,-0.21608860000002203,SIN NF,2.6
21/06/2021,MD,MD-PCG-PE1-B1,9045.88,10.8,-0.41838860000000194,-0.2643696000000019,SIN NF,0.3
03/07/2021,MD,MD-PCG-PE1-B1,9046.31,10.9,-0.43024800000000996,-0.27759200000000994,SIN NF,2.1
17/07/2021,MD,MD-PCG-PE1-B1,9035.66,10.9,-0.13652100000002004,0.016134999999979964,SIN NF,0.0
01/08/2021,MD,MD-PCG-PE1-B1,9043.37,10.9,-0.3491628000000462,-0.19650680000004614,SIN NF,0.0
14/08/2021,MD,MD-PCG-PE1-B1,9039.73,10.9,-0.24877160000001203,-0.096115600000012,SIN NF,0.5
21/08/2021,MD,MD-PCG-PE1-B1,9039.71,10.9,-0.24822,-0.09556399999999998,SIN NF,17.5
29/08/2021,MD,MD-PCG-PE1-B1,9040.87,10.9,-0.28021280000004617,-0.12755680000004613,SIN NF,1.3
03/09/2021,MD,MD-PCG-PE1-B1,9040.09,10.9,-0.2587004000000281,-0.10604440000002809,SIN NF,2.1
17/09/2021,MD,MD-PCG-PE1-B1,9042.45,10.9,-0.32378920000004413,-0.1711332000000441,SIN NF,0.8
27/09/2021,MD,MD-PCG-PE1-B1,9041.8,10.9,-0.30586220000000397,-0.15320620000000398,SIN NF,17.6
06/10/2021,MD,MD-PCG-PE1-B1,9040.87,10.9,-0.28021280000004617,-0.12755680000004613,SIN NF,0.0
13/10/2021,MD,MD-PCG-PE1-B1,9047.16,10.9,-0.45369100000002005,-0.30103500000002004,SIN NF,0.0
31/10/2021,MD,MD-PCG-PE1-B1,9036.36,10.9,-0.15582700000004013,-0.0031710000000401053,SIN NF,0.3
06/11/2021,MD,MD-PCG-PE1-B1,9042.01,10.9,-0.3116540000000301,-0.15899800000003006,SIN NF,0.0
14/11/2021,MD,MD-PCG-PE1-B1,9047.45,10.9,-0.46168920000004415,-0.30903320000004414,SIN NF,2.8
20/11/2021,MD,MD-PCG-PE1-B1,9045.44,10.9,-0.4062534000000381,-0.2535974000000381,SIN NF,0.0
27/11/2021,MD,MD-PCG-PE1-B1,9040.44,10.9,-0.2683534000000381,-0.1156974000000381,SIN NF,0.6
04/12/2021,MD,MD-PCG-PE1-B1,9041.58,10.6,-0.29979460000002206,-0.14304960000002198,SIN NF,
09/12/2021,MD,MD-PCG-PE1-B1,9040.0,10.9,-0.2562182000000241,-0.10356220000002406,SIN NF,
18/01/2022,MD,MD-PCG-PE1-B1,9038.86,10.9,-0.2247770000000401,-0.07212100000004011,SIN NF,6.1
26/01/2022,MD,MD-PCG-PE1-B1,9039.08,10.9,-0.23084460000002208,-0.07818860000002206,SIN NF,
04/02/2022,MD,MD-PCG-PE1-B1,9040.36,10.9,-0.2661470000000401,-0.1134910000000401,SIN NF,
14/02/2022,MD,MD-PCG-PE1-B1,9046.31,10.9,-0.43024800000000996,-0.27759200000000994,SIN NF,1.8
24/02/2022,MD,MD-PCG-PE1-B1,9044.95,10.9,-0.39273920000004414,-0.24008320000004413,SIN NF,
05/03/2022,MD,MD-PCG-PE1-B1,9044.95,10.9,-0.39273920000004414,-0.24008320000004413,SIN NF,21.1
12/03/2022,MD,MD-PCG-PE1-B1,9038.15,10.9,-0.205195200000014,-0.052539200000014004,SIN NF,
21/03/2022,MD,MD-PCG-PE1-B1,9046.31,10.9,-0.43024800000000996,-0.27759200000000994,SIN NF,
30/03/2022,MD,MD-PCG-PE1-B1,9040.48,10.9,-0.26945660000001204,-0.11680060000001202,SIN NF,22.4
05/04/2022,MD,MD-PCG-PE1-B1,9044.95,10.9,-0.39273920000004414,-0.24008320000004413,SIN NF,
13/04/2022,MD,MD-PCG-PE1-B1,9043.81,10.8,-0.36129800000001,-0.20727900000001004,SIN NF,0.0
23/04/2022,MD,MD-PCG-PE1-B1,9053.61,10.9,-0.6315820000000402,-0.4789260000000401,SIN NF,
29/04/2022,MD,MD-PCG-PE1-B1,9038.37,10.9,-0.21126280000004616,-0.05860680000004614,SIN NF,12.3
06/05/2022,MD,MD-PCG-PE1-B1,9042.72,10.9,-0.33123580000000596,-0.17857980000000598,SIN NF,
13/05/2022,MD,MD-PCG-PE1-B1,9042.94,10.6,-0.3373034000000381,-0.1805584000000381,SIN NF,9.8
20/05/2022,MD,MD-PCG-PE1-B1,9042.45,10.9,-0.32378920000004413,-0.1711332000000441,SIN NF,
28/05/2022,MD,MD-PCG-PE1-B1,9040.87,10.9,-0.28021280000004617,-0.12755680000004613,SIN NF,0.0
06/06/2022,MD,MD-PCG-PE1-B1,9048.16,10.9,-0.4812710000000201,-0.3286150000000201,SIN NF,
13/06/2022,MD,MD-PCG-PE1-B1,9045.17,10.9,-0.398806800000026,-0.246150800000026,SIN NF,2.5
21/06/2022,MD,MD-PCG-PE1-B1,9040.44,10.9,-0.2683534000000381,-0.1156974000000381,SIN NF,
27/06/2022,MD,MD-PCG-PE1-B1,9045.66,10.9,-0.4123210000000201,-0.2596650000000201,SIN NF,4.2
06/07/2022,MD,MD-PCG-PE1-B1,9046.8,10.9,-0.44376220000000394,-0.2911062000000039,SIN NF,
16/07/2022,MD,MD-PCG-PE1-B1,9045.84,10.9,-0.417285400000028,-0.264629400000028,SIN NF,1.0
23/07/2022,MD,MD-PCG-PE1-B1,9042.17,10.9,-0.31606680000002607,-0.16341080000002606,SIN NF,
29/07/2022,MD,MD-PCG-PE1-B1,9045.66,10.9,-0.4123210000000201,-0.2596650000000201,SIN NF,0.3
07/08/2022,MD,MD-PCG-PE1-B1,9034.57,10.9,-0.10645880000001605,0.04619719999998397,SIN NF,3.1
20/08/2022,MD,MD-PCG-PE1-B1,9038.37,10.9,-0.21126280000004616,-0.05860680000004614,SIN NF,8.6
29/08/2022,MD,MD-PCG-PE1-B1,9043.59,10.9,-0.3552304000000281,-0.20257440000002805,SIN NF,
