FECHA,PROGRESIVA,PIEZOMETRO,COTA_RIO_(M.S.N.M),LECTURA_CUERDA_VIBRANTE,TEMPERATURA_(°C),MCA_1_(FACTOR_G),MCA_2_(FACTOR_G_Y_K),COTA_NF,PRECIPITACIONES_(MM)
17/05/2023,0+260 - MD,PE 3,116.109,9001.58,5.0,-0.011218700000007594,0.0035044999999924026,SIN NF,6.5
21/05/2023,0+260 - MD,PE 3,116.109,9001.58,3.9,-0.011218700000007594,0.008565599999992402,SIN NF,
22/05/2023,0+260 - MD,PE 3,116.109,9003.42,4.4,-0.05922430000001139,-0.04174050000001139,SIN NF,
23/05/2023,0+260 - MD,PE 3,115.969,9003.42,4.4,-0.05922430000001139,-0.04174050000001139,SIN NF,
29/05/2023,0+260 - MD,PE 3,115.73,8995.97,4.9,0.1351462000000076,0.15032950000000758,139.9741462,13.8
07/06/2023,0+260 - MD,PE 3,115.647,9000.23,6.0,0.0240028000000019,0.0341250000000019,SIN NF,
14/06/2023,0+260 - MD,PE 3,115.647,8996.67,6.4,0.1168831999999886,0.1251649999999886,139.9558832,
23/06/2023,0+260 - MD,PE 3,115.565,9000.94,6.7,0.005478899999977221,0.012380399999977216,SIN NF,
30/06/2023,0+260 - MD,PE 3,115.354,9000.37,6.7,0.020350199999969627,0.027251699999969622,SIN NF,25.4
08/07/2023,0+260 - MD,PE 3,115.156,8994.4,7.0,0.1761075,0.1816287,140.0151075,
14/07/2023,0+260 - MD,PE 3,115.008,8996.89,7.0,0.1111434000000057,0.1166646000000057,139.9501434,
30/07/2023,0+260 - MD,PE 3,114.831,9000.45,7.1,0.018262999999971528,0.023324099999971527,SIN NF,
15/08/2023,0+260 - MD,PE 3,114.629,8996.89,7.2,0.1111434000000057,0.11574440000000569,139.9501434,
23/08/2023,0+260 - MD,PE 3,114.391,9002.29,7.2,-0.02974260000003227,-0.025141600000032273,SIN NF,3.8
01/09/2023,0+260 - MD,PE 3,114.309,9004.29,7.3,-0.08192260000003226,-0.07778170000003228,SIN NF,
09/09/2023,0+260 - MD,PE 3,114.221,9002.29,7.3,-0.02974260000003227,-0.025601700000032274,SIN NF,
15/09/2023,0+260 - MD,PE 3,114.221,9006.77,7.3,-0.14662580000002087,-0.14248490000002087,SIN NF,
26/09/2023,0+260 - MD,PE 3,114.131,9001.15,7.3,0.0,0.004140899999999998,SIN NF,22.1
01/10/2023,0+260 - MD,PE 3,114.069,9002.07,7.3,-0.0240028000000019,-0.0198619000000019,SIN NF,
09/10/2023,0+260 - MD,PE 3,114.1,9002.29,7.3,-0.02974260000003227,-0.025601700000032274,SIN NF,
16/10/2023,0+260 - MD,PE 3,114.18,8995.97,7.4,0.1351462000000076,0.13882700000000758,139.9741462,0.8
30/10/2023,0+260 - MD,PE 3,114.254,8991.71,7.4,0.24628960000001326,0.24997040000001328,140.0852896,5.6
03/11/2023,0+260 - MD,PE 3,114.306,8998.24,7.4,0.07592189999999621,0.0796026999999962,SIN NF,
10/11/2023,0+260 - MD,PE 3,114.306,9006.34,7.4,-0.13540710000001327,-0.13172630000001329,SIN NF,
17/11/2023,0+260 - MD,PE 3,114.328,9008.34,7.4,-0.18758710000001327,-0.1839063000000133,SIN NF,5.5
17/05/2023,0+260 - MD,PE 4,116.109,8982.71,4.9,-0.06864639999998791,-0.021454399999987904,SIN NF,6.5
21/05/2023,0+260 - MD,PE 4,116.109,8982.92,5.7,-0.0744592000000141,-0.038371200000014094,SIN NF,
