FECHA,MARGEN,INSTRUMENTO,DELTA_NORTE_[M],DELTA_ESTE_[M],DELTA_COTA_[M],DISTANCIA_[M],DISTANCIA_(MM),AZIMUT_REF._AL_NORTE,TASA_NORTE_(MM/DIA),TASA_ESTE_(MM/DIA),TASA_COTA_(MM/DIA),TASA_DISTANCIA_(MM/DIA)
06/10/2021,Izquierda,PF01,-0.0010000000038417056,-0.0020000000004074536,0.001333333333320752,0.0022360679795822903,2.23606797958229,243.4349487395457,-0.10000000038417056,-0.20000000004074536,0.1333333333320752,0.22360679795822905
10/10/2021,Izquierda,PF01,-0.008000000001629815,0.0030000000006111804,0.00033333333331597714,0.008544003747058174,8.544003747058174,159.44395478041653,-0.5714285715449867,0.21428571432937002,0.02380952380828408,0.6102859819327267
19/10/2021,Izquierda,PF01,-0.012000000002444722,0.004000000000814907,0.001333333333320752,0.01264911064325048,12.64911064325048,161.56505117707798,-0.5217391305410748,0.17391304351369163,0.0579710144922066,0.5499613323152384
28/10/2021,Izquierda,PF01,0.000999999996565748,0.0010000000002037268,-0.0006666666666887977,0.0014142135600887689,1.4142135600887689,45.00000010422042,0.031249999892679625,0.03125000000636646,-0.020833333334024928,0.04419417375277403
02/11/2021,Izquierda,PF01,-0.006999999997788109,0.004000000000814907,-0.0026666666666983474,0.008062257746782398,8.062257746782398,150.25511869023063,-0.18918918912940835,0.10810810813013264,-0.07207207207292832,0.2178988580211459
12/11/2021,Izquierda,PF01,0.000999999996565748,0.0,-0.010666666666679703,0.000999999996565748,0.999999996565748,360.0,0.02127659567161166,0.0,-0.22695035461020643,0.02127659567161166
18/11/2021,Izquierda,PF01,-0.006999999997788109,0.006000000001222361,-0.011666666666684478,0.009219544456408995,9.219544456408995,139.39870534028205,-0.13207547165637942,0.11320754719287474,-0.22012578616385808,0.17395366898884895
24/11/2021,Izquierda,PF01,-0.006900000000314321,0.0030000000006111804,-0.014666666666698802,0.00752396172292262,7.52396172292262,156.50143432073406,-0.11694915254770036,0.05084745763747763,-0.2485875706220136,0.12752477496479017
01/12/2021,Izquierda,PF01,-0.004899999999906868,0.005000000001018634,-0.014666666666698802,0.0070007142499371915,7.000714249937191,134.42127442801268,-0.07424242424101316,0.07575757577300961,-0.22222222222270913,0.10607142802935139
09/12/2021,Izquierda,PF01,-0.010900000001129229,0.006999999997788109,-0.023666666666684932,0.012954149913971612,12.954149913971612,147.2913487737973,-0.14729729731255714,0.09459459456470418,-0.31981981982006663,0.17505607991853528
30/01/2022,Izquierda,PF01,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,0.09999999747378752,360.0,0.0007936507736014882,0.0,0.0,0.0007936507736014882
11/02/2022,Izquierda,PF01,-0.010900000001129229,-0.011000000002240995,-0.028666666666680385,0.015485799949434937,15.485799949434936,225.26162274856313,-0.07898550725455962,-0.07971014494377532,-0.20772946859913322,0.11221594166257201
27/02/2022,Izquierda,PF01,-0.0009000000063679181,0.0,-0.0006666666666887977,0.0009000000063679181,0.9000000063679181,180.0,-0.005844155885505961,0.0,-0.004329004329148037,0.005844155885505961
12/03/2022,Izquierda,PF01,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,0.09999999747378752,360.0,0.00059880238008256,0.0,0.0,0.00059880238008256
30/03/2022,Izquierda,PF01,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,0.09999999747378752,360.0,0.0005405405268853379,0.0,0.0,0.0005405405268853379
06/04/2022,Izquierda,PF01,,,,,,,,,,
11/04/2022,Izquierda,PF01,,,,,,,,,,
18/04/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
01/05/2022,Izquierda,PF01,-0.008900000000721775,0.0,-0.006666666666689025,0.008900000000721775,8.900000000721775,180.0,-0.04101382488811878,0.0,-0.030721966205940206,0.04101382488811878
09/05/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
16/05/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
23/05/2022,Izquierda,PF01,-0.006900000000314321,0.0010000000002037268,-0.012666666666689252,0.006972087205761635,6.972087205761635,171.75367918424507,-0.02887029288834444,0.004184100419262455,-0.05299860529995503,0.02917191299481856
30/05/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
13/06/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
24/06/2022,Izquierda,PF01,-0.007900000004156027,0.0020000000004074536,-0.012666666666689252,0.008149233096880653,8.149233096880653,165.7932338866338,-0.029151291528251022,0.007380073802241527,-0.04674046740475739,0.030070970837197983
27/06/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
04/07/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
11/07/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
23/07/2022,Izquierda,PF01,-0.006900000000314321,0.004000000000814907,-0.015666666666703577,0.007975587753316799,7.975587753316799,149.89869543046808,-0.023000000001047738,0.01333333333604969,-0.05222222222234526,0.026585292511055996
01/08/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
08/08/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
16/08/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
30/08/2022,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
13/11/2022,Izquierda,PF01,-0.00990000000456348,0.0010000000002037268,-0.025666666666694482,0.00995037688184545,9.95037688184545,174.23211110355953,-0.02397094432097695,0.002421307506546554,-0.06214689265543458,0.02409292223207131
13/11/2022,Izquierda,PF01,-0.008900000000721775,0.0030000000006111804,-0.01866666666668948,0.009392017888426038,9.392017888426038,161.37213682141825,-0.02154963680562173,0.007263922519639663,-0.04519774011304959,0.02274096341023254
09/02/2023,Izquierda,PF01,,,,,,,,,,
20/02/2023,Izquierda,PF01,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,0.09999999747378752,360.0,0.00019531249506599124,0.0,0.0,0.00019531249506599124
11/03/2023,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
15/03/2023,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
29/03/2023,Izquierda,PF01,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,0.09999999747378752,360.0,0.00018214935787575138,0.0,0.0,0.00018214935787575138
04/04/2023,Izquierda,PF01,,,,,,,,,,
12/04/2023,Izquierda,PF01,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
16/04/2023,Izquierda,PF01,,,,,,,,,,
25/04/2023,Izquierda,PF01,-0.004899999999906868,0.0030000000006111804,-0.006666666666689025,0.005745432969128992,5.745432969128992,148.523160644733,-0.008506944444282757,0.0052083333343944105,-0.011574074074112891,0.009974710015848945
09/05/2023,Izquierda,PF01,,,,,,,,,,
19/05/2023,Izquierda,PF01,,,,,,,,,,
27/05/2023,Izquierda,PF01,,,,,,,,,,
31/05/2023,Izquierda,PF01,,,,,,,,,,
11/06/2023,Izquierda,PF01,-0.0039000000033411197,0.0030000000006111804,-0.006666666666689025,0.0049203658430779125,4.920365843077913,142.43140798925288,-0.0062600321080916845,0.00481540931077236,-0.01070090957734996,0.00789785849611222
